time	V(clk)	V(d)	V(q)
0.000000000000000e+000	0.000000e+000	0.000000e+000	5.258080e-008
9.765624960978488e-015	1.074219e-003	1.074219e-003	3.613237e-005
1.953124992195698e-014	2.148438e-003	2.148438e-003	7.010599e-005
3.906249984391395e-014	4.296875e-003	4.296875e-003	1.349595e-004
7.812499968782791e-014	8.593750e-003	8.593750e-003	2.609430e-004
1.562499993756558e-013	1.718750e-002	1.718750e-002	5.006230e-004
3.124999987513116e-013	3.437500e-002	3.437500e-002	9.352593e-004
6.249999975026233e-013	6.875000e-002	6.875000e-002	1.653347e-003
1.249999995005247e-012	1.375000e-001	1.375000e-001	2.647893e-003
2.499999990010493e-012	2.750000e-001	2.750000e-001	3.620553e-003
4.999999980020986e-012	5.500000e-001	5.500000e-001	3.938715e-003
9.999999999999999e-012	1.100000e+000	1.100000e+000	3.065271e-003
1.049999999800210e-011	1.100000e+000	1.100000e+000	1.717667e-003
1.149999999400630e-011	1.100000e+000	1.100000e+000	-1.805341e-004
1.349999998601469e-011	1.100000e+000	1.100000e+000	-1.755476e-003
1.749999997003148e-011	1.100000e+000	1.100000e+000	-2.041848e-003
2.549999993806505e-011	1.100000e+000	1.100000e+000	-1.203116e-003
4.149999987413221e-011	1.100000e+000	1.100000e+000	-7.168682e-005
7.349999974626651e-011	1.100000e+000	1.100000e+000	3.919268e-005
1.076279121199625e-010	1.100000e+000	1.100000e+000	-4.156438e-004
1.453555578961800e-010	1.100000e+000	1.100000e+000	-8.370850e-005
1.946224521821853e-010	1.100000e+000	1.100000e+000	4.387952e-005
2.464671348978835e-010	1.100000e+000	1.100000e+000	-8.188171e-005
3.501565003292800e-010	1.100000e+000	1.100000e+000	2.419867e-005
5.104388840631455e-010	1.100000e+000	1.100000e+000	-1.474845e-005
8.060859772518998e-010	1.100000e+000	1.100000e+000	8.384859e-006
1.393579525109344e-009	1.100000e+000	1.100000e+000	-2.670548e-006
2.370142025109344e-009	1.100000e+000	1.100000e+000	3.636578e-007
3.346704525109344e-009	1.100000e+000	1.100000e+000	1.977108e-006
4.033437500000000e-009	1.100000e+000	1.100000e+000	-1.679889e-004
4.043437500000000e-009	1.100000e+000	1.100000e+000	-1.237042e-004
4.063437499999999e-009	1.100000e+000	1.100000e+000	-1.510798e-005
4.103437499999998e-009	1.100000e+000	1.100000e+000	7.822263e-006
4.183437499999997e-009	1.100000e+000	1.100000e+000	-3.174471e-006
4.343437499999993e-009	1.100000e+000	1.100000e+000	1.298635e-006
4.663437499999985e-009	1.100000e+000	1.100000e+000	3.621220e-005
4.693437499999984e-009	1.100000e+000	1.100000e+000	-5.534839e-006
4.735625000000026e-009	1.100000e+000	1.100000e+000	-1.059246e-006
4.777812500000069e-009	1.100000e+000	1.100000e+000	2.199820e-006
4.820000000000111e-009	1.100000e+000	1.100000e+000	4.242360e-006
4.862187500000153e-009	1.100000e+000	1.100000e+000	5.068373e-006
4.904375000000196e-009	1.100000e+000	1.100000e+000	4.677860e-006
4.946562500000238e-009	1.100000e+000	1.100000e+000	3.070820e-006
4.988750000000280e-009	1.100000e+000	1.100000e+000	2.472532e-007
4.998750000000280e-009	1.100000e+000	1.100000e+000	8.236198e-007
5.002499999999441e-009	1.100000e+000	1.100000e+000	2.568824e-007
5.005000000001119e-009	1.100000e+000	1.100000e+000	1.247496e-007
5.010000000000000e-009	1.100000e+000	1.100000e+000	-1.975337e-007
5.010499999999888e-009	1.045000e+000	1.100000e+000	-1.316977e-003
5.011499999999664e-009	9.350000e-001	1.100000e+000	-2.766431e-003
5.013499999999216e-009	7.150000e-001	1.100000e+000	-3.154362e-003
5.016000000000895e-009	4.400000e-001	1.100000e+000	-2.390498e-003
5.020000000000000e-009	0.000000e+000	1.100000e+000	-1.239544e-003
5.020399999999911e-009	0.000000e+000	1.100000e+000	-2.633841e-004
5.021199999999732e-009	0.000000e+000	1.100000e+000	9.872202e-004
5.022799999999374e-009	0.000000e+000	1.100000e+000	1.934858e-003
5.025999999998657e-009	0.000000e+000	1.100000e+000	1.938125e-003
5.032399999997225e-009	0.000000e+000	1.100000e+000	1.118945e-003
5.045199999994359e-009	0.000000e+000	1.100000e+000	3.571770e-004
5.070799999988628e-009	0.000000e+000	1.100000e+000	5.815439e-005
5.115009861893922e-009	0.000000e+000	1.100000e+000	-7.344355e-004
5.203429585704511e-009	0.000000e+000	1.100000e+000	1.579984e-001
5.322230124931059e-009	0.000000e+000	1.100000e+000	5.935214e-001
5.506869034807496e-009	0.000000e+000	1.100000e+000	1.016176e+000
5.699643736232169e-009	0.000000e+000	1.100000e+000	1.099660e+000
6.023892362667856e-009	0.000000e+000	1.100000e+000	1.099295e+000
6.356714191355042e-009	0.000000e+000	1.100000e+000	1.099468e+000
7.022357848729414e-009	0.000000e+000	1.100000e+000	1.099269e+000
7.998920348729414e-009	0.000000e+000	1.100000e+000	1.099487e+000
8.975482848729414e-009	0.000000e+000	1.100000e+000	1.101774e+000
9.023437500000000e-009	0.000000e+000	1.100000e+000	1.100968e+000
9.119346802541170e-009	0.000000e+000	1.100000e+000	1.099624e+000
9.311165407623511e-009	0.000000e+000	1.100000e+000	1.100236e+000
9.616362789835318e-009	0.000000e+000	1.100000e+000	1.103698e+000
9.626362789835318e-009	0.000000e+000	1.100000e+000	1.102370e+000
9.646362789835317e-009	0.000000e+000	1.100000e+000	1.099676e+000
9.686362789835317e-009	0.000000e+000	1.100000e+000	1.100085e+000
9.766362789835315e-009	0.000000e+000	1.100000e+000	1.100003e+000
9.840000000000004e-009	0.000000e+000	1.100000e+000	1.099838e+000
9.852725579670621e-009	0.000000e+000	1.100000e+000	1.099865e+000
9.878176739011855e-009	0.000000e+000	1.100000e+000	1.099974e+000
9.929079057694324e-009	0.000000e+000	1.100000e+000	1.099971e+000
9.970000000000001e-009	0.000000e+000	1.100000e+000	1.099962e+000
9.999478538550151e-009	0.000000e+000	1.100000e+000	1.099961e+000
1.000000000000000e-008	0.000000e+000	1.100000e+000	1.099961e+000
1.000064302829134e-008	7.073312e-002	1.100000e+000	1.102413e+000
1.000192908487402e-008	2.121993e-001	1.100000e+000	1.106319e+000
1.000429143160680e-008	4.720575e-001	1.100000e+000	1.111005e+000
1.000527530653442e-008	5.802837e-001	1.100000e+000	1.111729e+000
1.000724305638966e-008	7.967362e-001	1.100000e+000	1.111332e+000
1.001000000000000e-008	1.100000e+000	1.100000e+000	1.110295e+000
1.001027569436103e-008	1.100000e+000	1.100000e+000	1.108883e+000
1.001082708308310e-008	1.100000e+000	1.100000e+000	1.106268e+000
1.001192986052724e-008	1.100000e+000	1.100000e+000	1.102156e+000
1.001413541541551e-008	1.100000e+000	1.100000e+000	1.097444e+000
1.001854652519206e-008	1.100000e+000	1.100000e+000	1.094595e+000
1.002736874474514e-008	1.100000e+000	1.100000e+000	1.095543e+000
1.004501318385132e-008	1.100000e+000	1.100000e+000	1.098374e+000
1.008030206206368e-008	1.100000e+000	1.100000e+000	1.099896e+000
1.015087981848839e-008	1.100000e+000	1.100000e+000	1.100122e+000
1.029203533133782e-008	1.100000e+000	1.100000e+000	1.100008e+000
1.050784597763326e-008	1.100000e+000	1.100000e+000	1.099954e+000
1.093946727022415e-008	1.100000e+000	1.100000e+000	1.099973e+000
1.277927235540593e-008	1.100000e+000	1.100000e+000	1.099966e+000
1.403343750000000e-008	1.100000e+000	1.100000e+000	1.099965e+000
1.445479471081187e-008	1.100000e+000	1.100000e+000	1.100009e+000
1.448479471081188e-008	1.100000e+000	1.100000e+000	1.099959e+000
1.455839546641018e-008	1.100000e+000	1.100000e+000	1.099960e+000
1.463199622200848e-008	1.100000e+000	1.100000e+000	1.099961e+000
1.470559697760679e-008	1.100000e+000	1.100000e+000	1.099961e+000
1.477919773320509e-008	1.100000e+000	1.100000e+000	1.099962e+000
1.485279848880340e-008	1.100000e+000	1.100000e+000	1.099962e+000
1.492639924440170e-008	1.100000e+000	1.100000e+000	1.099962e+000
1.500000000000000e-008	1.100000e+000	1.100000e+000	1.099962e+000
1.501000000000000e-008	1.100000e+000	1.100000e+000	1.099962e+000
1.501100000000000e-008	9.900000e-001	1.100000e+000	1.096326e+000
1.501300000000000e-008	7.700000e-001	1.100000e+000	1.092424e+000
1.501600000000000e-008	4.400000e-001	1.100000e+000	1.091028e+000
1.502000000000000e-008	0.000000e+000	1.100000e+000	1.091803e+000
1.502040000000000e-008	0.000000e+000	1.100000e+000	1.093428e+000
1.502120000000000e-008	0.000000e+000	1.100000e+000	1.096217e+000
1.502280000000000e-008	0.000000e+000	1.100000e+000	1.100080e+000
1.502600000000001e-008	0.000000e+000	1.100000e+000	1.103548e+000
1.503240000000001e-008	0.000000e+000	1.100000e+000	1.104295e+000
1.504520000000002e-008	0.000000e+000	1.100000e+000	1.102479e+000
1.507080000000004e-008	0.000000e+000	1.100000e+000	1.100591e+000
1.512200000000007e-008	0.000000e+000	1.100000e+000	1.099857e+000
1.522440000000015e-008	0.000000e+000	1.100000e+000	1.099883e+000
1.542920000000030e-008	0.000000e+000	1.100000e+000	1.099965e+000
1.583880000000059e-008	0.000000e+000	1.100000e+000	1.099961e+000
1.763456250000118e-008	0.000000e+000	1.100000e+000	1.099962e+000
1.861112500000118e-008	0.000000e+000	1.100000e+000	1.099961e+000
1.902343750000000e-008	0.000000e+000	1.100000e+000	1.099964e+000
1.917537500000236e-008	0.000000e+000	1.100000e+000	1.099964e+000
1.947925000000709e-008	0.000000e+000	1.100000e+000	1.099978e+000
1.950925000000710e-008	0.000000e+000	1.100000e+000	1.099963e+000
1.954925000000710e-008	0.000000e+000	1.100000e+000	1.099962e+000
1.999000000000000e-008	0.000000e+000	1.100000e+000	1.099962e+000
2.000000000000000e-008	0.000000e+000	1.100000e+000	1.099962e+000
2.000100000000000e-008	1.100000e-001	1.100000e+000	1.103353e+000
2.000300000000000e-008	3.300000e-001	1.100000e+000	1.108180e+000
2.000600000000000e-008	6.600000e-001	1.100000e+000	1.110969e+000
2.001000000000000e-008	1.100000e+000	1.100000e+000	1.110422e+000
2.001040000000000e-008	1.100000e+000	1.100000e+000	1.108404e+000
2.001120000000000e-008	1.100000e+000	1.100000e+000	1.104856e+000
2.001280000000000e-008	1.100000e+000	1.100000e+000	1.099947e+000
2.001600000000000e-008	1.100000e+000	1.100000e+000	1.095607e+000
2.002240000000000e-008	1.100000e+000	1.100000e+000	1.094626e+000
2.003520000000001e-008	1.100000e+000	1.100000e+000	1.097047e+000
2.006080000000002e-008	1.100000e+000	1.100000e+000	1.099421e+000
2.011200000000003e-008	1.100000e+000	1.100000e+000	1.100095e+000
2.021440000000006e-008	1.100000e+000	1.100000e+000	1.100067e+000
2.037262720896524e-008	1.100000e+000	1.100000e+000	1.099969e+000
2.068908162689560e-008	1.100000e+000	1.100000e+000	1.099962e+000
2.132199046275633e-008	1.100000e+000	1.100000e+000	1.099965e+000
2.327511546275633e-008	1.100000e+000	1.100000e+000	1.099962e+000
2.403343750000000e-008	1.100000e+000	1.100000e+000	1.099992e+000
2.406343750000002e-008	1.100000e+000	1.100000e+000	1.099963e+000
2.418343750000007e-008	1.100000e+000	1.100000e+000	1.099962e+000
2.500499999997773e-008	1.100000e+000	1.100000e+000	1.099962e+000
2.501000000000000e-008	1.100000e+000	1.100000e+000	1.099962e+000
2.501049999999332e-008	1.045000e+000	1.100000e+000	1.097579e+000
2.501149999997996e-008	9.350000e-001	1.100000e+000	1.094306e+000
2.501349999995325e-008	7.150000e-001	1.100000e+000	1.091442e+000
2.501600000005344e-008	4.400000e-001	1.100000e+000	1.090860e+000
2.502000000000000e-008	0.000000e+000	1.100000e+000	1.091831e+000
2.502039999999466e-008	0.000000e+000	1.100000e+000	1.093455e+000
2.502119999998397e-008	0.000000e+000	1.100000e+000	1.096241e+000
2.502279999996260e-008	0.000000e+000	1.100000e+000	1.100100e+000
2.502599999991986e-008	0.000000e+000	1.100000e+000	1.103560e+000
2.503239999983437e-008	0.000000e+000	1.100000e+000	1.104300e+000
2.504519999966339e-008	0.000000e+000	1.100000e+000	1.102481e+000
2.507079999932142e-008	0.000000e+000	1.100000e+000	1.100592e+000
2.512199999863750e-008	0.000000e+000	1.100000e+000	1.099857e+000
2.522439999726966e-008	0.000000e+000	1.100000e+000	1.099883e+000
2.542919999453398e-008	0.000000e+000	1.100000e+000	1.099965e+000
2.583879998906261e-008	0.000000e+000	1.100000e+000	1.099961e+000
2.763456247811987e-008	0.000000e+000	1.100000e+000	1.099962e+000
2.861112497811987e-008	0.000000e+000	1.100000e+000	1.099961e+000
2.902343750000000e-008	0.000000e+000	1.100000e+000	1.099964e+000
2.917537495623975e-008	0.000000e+000	1.100000e+000	1.099964e+000
2.947924986871924e-008	0.000000e+000	1.100000e+000	1.099978e+000
2.950924986871923e-008	0.000000e+000	1.100000e+000	1.099963e+000
2.954924986871922e-008	0.000000e+000	1.100000e+000	1.099962e+000
2.999000000000000e-008	0.000000e+000	1.100000e+000	1.099962e+000
3.000000000000000e-008	0.000000e+000	1.100000e+000	1.099962e+000
3.000100000000001e-008	1.100000e-001	1.100000e+000	1.103353e+000
3.000300000000001e-008	3.300000e-001	1.100000e+000	1.108180e+000
3.000600000000000e-008	6.600000e-001	1.100000e+000	1.110968e+000
3.001000000000000e-008	1.100000e+000	1.100000e+000	1.110420e+000
3.001040000000000e-008	1.100000e+000	1.100000e+000	1.108402e+000
3.001120000000000e-008	1.100000e+000	1.100000e+000	1.104855e+000
3.001280000000000e-008	1.100000e+000	1.100000e+000	1.099946e+000
3.001600000000000e-008	1.100000e+000	1.100000e+000	1.095607e+000
3.002240000000000e-008	1.100000e+000	1.100000e+000	1.094627e+000
