time	V(clk)	V(d)	V(q)
0.000000000000000e+000	0.000000e+000	0.000000e+000	5.579445e-001
9.999999824516700e-014	1.100000e-002	1.100000e-002	5.582582e-001
1.999999964903340e-013	2.200000e-002	2.200000e-002	5.585610e-001
3.999999929806680e-013	4.400000e-002	4.400000e-002	5.591195e-001
7.999999859613360e-013	8.800000e-002	8.800000e-002	5.600591e-001
1.599999971922672e-012	1.760000e-001	1.760000e-001	5.613703e-001
3.199999943845344e-012	3.520000e-001	3.520000e-001	5.621701e-001
6.399999887690688e-012	7.040000e-001	7.040000e-001	5.572332e-001
9.999999999999999e-012	1.100000e+000	1.100000e+000	5.435412e-001
1.036000001123093e-011	1.100000e+000	1.100000e+000	5.398174e-001
1.108000003369279e-011	1.100000e+000	1.100000e+000	5.331552e-001
1.252000007861652e-011	1.100000e+000	1.100000e+000	5.238751e-001
1.540000016846397e-011	1.100000e+000	1.100000e+000	5.248896e-001
2.116000034815886e-011	1.100000e+000	1.100000e+000	6.022750e-001
3.268000070754866e-011	1.100000e+000	1.100000e+000	8.204940e-001
5.572000142632825e-011	1.100000e+000	1.100000e+000	1.047396e+000
8.772103292647469e-011	1.100000e+000	1.100000e+000	1.101418e+000
1.222893909201425e-010	1.100000e+000	1.100000e+000	1.112297e+000
1.309314804185595e-010	1.100000e+000	1.100000e+000	1.113862e+000
1.482156594153934e-010	1.100000e+000	1.100000e+000	1.031827e+000
1.827840174090612e-010	1.100000e+000	1.100000e+000	6.705241e-001
2.439562065685136e-010	1.100000e+000	1.100000e+000	1.566881e-001
3.066058672776147e-010	1.100000e+000	1.100000e+000	9.868936e-006
3.863308749134975e-010	1.100000e+000	1.100000e+000	4.027913e-004
5.041252204960376e-010	1.100000e+000	1.100000e+000	-1.185905e-005
7.156397655320783e-010	1.100000e+000	1.100000e+000	2.427185e-004
1.043969561498618e-009	1.100000e+000	1.100000e+000	9.376616e-005
1.638817977736676e-009	1.100000e+000	1.100000e+000	1.881852e-004
2.658431630955701e-009	1.100000e+000	1.100000e+000	1.347864e-004
4.432603023456259e-009	1.100000e+000	1.100000e+000	1.627148e-004
7.597197980855901e-009	1.100000e+000	1.100000e+000	1.448272e-004
1.309481790545536e-008	1.100000e+000	1.100000e+000	1.543560e-004
2.409005775465429e-008	1.100000e+000	1.100000e+000	1.468137e-004
4.608053745305214e-008	1.100000e+000	1.100000e+000	1.472551e-004
9.006149684984785e-008	1.100000e+000	1.100000e+000	1.466483e-004
1.486552468498479e-007	1.100000e+000	1.100000e+000	1.476405e-004
2.072489968498478e-007	1.100000e+000	1.100000e+000	1.469844e-004
3.244364968498479e-007	1.100000e+000	1.100000e+000	1.464759e-004
5.002177468498478e-007	1.100000e+000	1.100000e+000	1.463734e-004
5.588114968498479e-007	1.100000e+000	1.100000e+000	1.462949e-004
6.174052468498479e-007	1.100000e+000	1.100000e+000	1.462445e-004
6.759989968498480e-007	1.100000e+000	1.100000e+000	1.462221e-004
7.345927468498481e-007	1.100000e+000	1.100000e+000	1.462277e-004
7.931864968498482e-007	1.100000e+000	1.100000e+000	1.462613e-004
8.517802468498482e-007	1.100000e+000	1.100000e+000	1.463229e-004
9.103739968498482e-007	1.100000e+000	1.100000e+000	1.464126e-004
9.414162500000001e-007	1.100000e+000	1.100000e+000	-3.026588e-003
9.414262500000001e-007	1.100000e+000	1.100000e+000	-1.732213e-003
9.414462500000003e-007	1.100000e+000	1.100000e+000	4.779447e-004
9.414862500000005e-007	1.100000e+000	1.100000e+000	-1.430847e-004
9.415662500000010e-007	1.100000e+000	1.100000e+000	7.366300e-005
9.417262500000021e-007	1.100000e+000	1.100000e+000	-2.406716e-005
9.420462500000041e-007	1.100000e+000	1.100000e+000	2.079247e-005
9.426862500000082e-007	1.100000e+000	1.100000e+000	-1.315571e-006
9.439662500000165e-007	1.100000e+000	1.100000e+000	9.384278e-006
9.618862500001317e-007	1.100000e+000	1.100000e+000	5.365589e-006
9.795299999998684e-007	1.100000e+000	1.100000e+000	-6.562432e-004
9.795399999998684e-007	1.100000e+000	1.100000e+000	-3.720536e-004
9.795599999998686e-007	1.100000e+000	1.100000e+000	1.069281e-004
9.795999999998688e-007	1.100000e+000	1.100000e+000	-3.771139e-005
9.796799999998693e-007	1.100000e+000	1.100000e+000	1.738144e-005
9.798399999998704e-007	1.100000e+000	1.100000e+000	-7.387765e-006
9.801599999998724e-007	1.100000e+000	1.100000e+000	4.208666e-006
9.846399999999012e-007	1.100000e+000	1.100000e+000	-5.926510e-008
9.897599999999341e-007	1.100000e+000	1.100000e+000	-1.742899e-004
9.897699999999342e-007	1.100000e+000	1.100000e+000	-9.808173e-005
9.897899999999343e-007	1.100000e+000	1.100000e+000	2.966009e-005
9.898299999999346e-007	1.100000e+000	1.100000e+000	-1.083530e-005
9.899099999999351e-007	1.100000e+000	1.100000e+000	4.942429e-006
9.910299999999423e-007	1.100000e+000	1.100000e+000	-1.461352e-007
9.923099999999505e-007	1.100000e+000	1.100000e+000	6.326251e-007
9.948699999999670e-007	1.100000e+000	1.100000e+000	2.999081e-005
9.949299999999674e-007	1.100000e+000	1.100000e+000	-5.922680e-006
9.950099999999679e-007	1.100000e+000	1.100000e+000	2.757537e-006
9.974499999999836e-007	1.100000e+000	1.100000e+000	-4.619460e-006
9.993699999999959e-007	1.100000e+000	1.100000e+000	-6.528583e-007
9.996899999999980e-007	1.100000e+000	1.100000e+000	-1.712018e-005
9.997199999999982e-007	1.100000e+000	1.100000e+000	3.522457e-006
9.998499999999990e-007	1.100000e+000	1.100000e+000	-3.134791e-006
1.000000000000000e-006	1.100000e+000	1.100000e+000	2.086136e-007
1.000010000000000e-006	1.100000e+000	1.100000e+000	1.869085e-007
1.000011000000000e-006	9.900000e-001	1.100000e+000	-1.161471e-003
1.000013000000000e-006	7.700000e-001	1.100000e+000	-2.366618e-003
1.000016000000000e-006	4.400000e-001	1.100000e+000	-2.013767e-003
1.000020000000000e-006	0.000000e+000	1.100000e+000	5.568737e-004
1.000020400000000e-006	0.000000e+000	1.100000e+000	1.595657e-003
1.000021200000000e-006	0.000000e+000	1.100000e+000	2.932630e-003
1.000022800000000e-006	0.000000e+000	1.100000e+000	3.673634e-003
1.000026000000000e-006	0.000000e+000	1.100000e+000	2.672047e-003
1.000032400000000e-006	0.000000e+000	1.100000e+000	5.769444e-004
1.000045199999999e-006	0.000000e+000	1.100000e+000	-1.976819e-004
1.000070799999998e-006	0.000000e+000	1.100000e+000	1.116348e-004
1.000099275539427e-006	0.000000e+000	1.100000e+000	4.700735e-005
1.000156226618283e-006	0.000000e+000	1.100000e+000	-8.043311e-005
1.000233842209560e-006	0.000000e+000	1.100000e+000	-4.523015e-005
1.000317745826629e-006	0.000000e+000	1.100000e+000	1.420670e-005
1.000456872570055e-006	0.000000e+000	1.100000e+000	-1.976295e-006
1.000601327021152e-006	0.000000e+000	1.100000e+000	-1.988616e-007
1.000890235923345e-006	0.000000e+000	1.100000e+000	5.813562e-007
1.001408236544635e-006	0.000000e+000	1.100000e+000	-2.943246e-007
1.002245196588188e-006	0.000000e+000	1.100000e+000	3.711563e-007
1.003919116675292e-006	0.000000e+000	1.100000e+000	-8.032268e-008
1.006781703134929e-006	0.000000e+000	1.100000e+000	1.515483e-007
1.012089411198114e-006	0.000000e+000	1.100000e+000	1.007716e-008
1.021952363753517e-006	0.000000e+000	1.100000e+000	8.722902e-008
1.039625350962584e-006	0.000000e+000	1.100000e+000	4.476897e-008
1.133565075380717e-006	0.000000e+000	1.100000e+000	6.162009e-008
1.234011503952146e-006	0.000000e+000	1.100000e+000	6.174955e-008
1.334457932523574e-006	0.000000e+000	1.100000e+000	6.187866e-008
1.434904361095002e-006	0.000000e+000	1.100000e+000	6.200739e-008
1.535350789666431e-006	0.000000e+000	1.100000e+000	6.213576e-008
1.635797218237860e-006	0.000000e+000	1.100000e+000	6.226376e-008
1.736243646809288e-006	0.000000e+000	1.100000e+000	6.239140e-008
1.836690075380716e-006	0.000000e+000	1.100000e+000	6.251867e-008
1.895283825380716e-006	0.000000e+000	1.100000e+000	5.985510e-008
1.941406250000000e-006	0.000000e+000	1.100000e+000	7.725072e-005
1.941416250000000e-006	0.000000e+000	1.100000e+000	4.049399e-005
1.941436249999999e-006	0.000000e+000	1.100000e+000	-1.864252e-005
1.941476249999999e-006	0.000000e+000	1.100000e+000	5.365702e-006
1.941556249999998e-006	0.000000e+000	1.100000e+000	-2.181456e-006
1.941716249999995e-006	0.000000e+000	1.100000e+000	1.028919e-006
1.942036249999991e-006	0.000000e+000	1.100000e+000	-4.108739e-007
1.942676249999981e-006	0.000000e+000	1.100000e+000	2.721252e-007
1.943956249999962e-006	0.000000e+000	1.100000e+000	-6.011942e-008
1.946516249999924e-006	0.000000e+000	1.100000e+000	1.037356e-007
1.961876249999698e-006	0.000000e+000	1.100000e+000	6.071028e-008
1.979520000000302e-006	0.000000e+000	1.100000e+000	1.559617e-005
1.979530000000302e-006	0.000000e+000	1.100000e+000	1.006593e-005
1.979550000000302e-006	0.000000e+000	1.100000e+000	-7.460519e-007
1.979590000000301e-006	0.000000e+000	1.100000e+000	-3.182261e-008
1.979670000000300e-006	0.000000e+000	1.100000e+000	1.819590e-007
1.979830000000297e-006	0.000000e+000	1.100000e+000	-3.187536e-008
1.980150000000293e-006	0.000000e+000	1.100000e+000	9.513072e-008
1.980790000000283e-006	0.000000e+000	1.100000e+000	2.692226e-008
1.984630000000227e-006	0.000000e+000	1.100000e+000	4.427056e-008
1.989750000000151e-006	0.000000e+000	1.100000e+000	-3.982208e-006
1.989760000000151e-006	0.000000e+000	1.100000e+000	-1.784962e-006
1.989780000000151e-006	0.000000e+000	1.100000e+000	1.361446e-006
1.989820000000150e-006	0.000000e+000	1.100000e+000	-5.584755e-007
1.989900000000149e-006	0.000000e+000	1.100000e+000	3.567890e-007
1.990060000000147e-006	0.000000e+000	1.100000e+000	-9.610600e-008
1.990380000000142e-006	0.000000e+000	1.100000e+000	1.259584e-007
1.992300000000114e-006	0.000000e+000	1.100000e+000	7.051252e-008
1.994860000000076e-006	0.000000e+000	1.100000e+000	2.271422e-006
1.994920000000075e-006	0.000000e+000	1.100000e+000	-4.550623e-007
1.995000000000074e-006	0.000000e+000	1.100000e+000	2.963476e-007
1.995160000000071e-006	0.000000e+000	1.100000e+000	-6.482878e-008
1.996120000000057e-006	0.000000e+000	1.100000e+000	2.375843e-008
1.997400000000038e-006	0.000000e+000	1.100000e+000	-7.948850e-007
1.997520000000037e-006	0.000000e+000	1.100000e+000	2.634485e-007
1.997680000000034e-006	0.000000e+000	1.100000e+000	-4.858278e-008
1.998720000000019e-006	0.000000e+000	1.100000e+000	2.480968e-007
1.999360000000009e-006	0.000000e+000	1.100000e+000	-3.829352e-008
