time	V(ck)	V(d)	V(q)
0.000000000000000e+000	0.000000e+000	0.000000e+000	5.600761e-001
4.882812480489244e-015	5.371094e-004	5.371094e-004	5.600853e-001
9.765624960978488e-015	1.074219e-003	1.074219e-003	5.600932e-001
1.953124992195698e-014	2.148438e-003	2.148438e-003	5.601076e-001
3.906249984391395e-014	4.296875e-003	4.296875e-003	5.601361e-001
7.812499968782791e-014	8.593750e-003	8.593750e-003	5.601933e-001
1.562499993756558e-013	1.718750e-002	1.718750e-002	5.603074e-001
3.124999987513116e-013	3.437500e-002	3.437500e-002	5.605257e-001
6.249999975026233e-013	6.875000e-002	6.875000e-002	5.609238e-001
1.249999995005247e-012	1.375000e-001	1.375000e-001	5.616074e-001
2.499999990010493e-012	2.750000e-001	2.750000e-001	5.626661e-001
4.999999980020986e-012	5.500000e-001	5.500000e-001	5.625510e-001
9.999999999999999e-012	1.100000e+000	1.100000e+000	5.568119e-001
1.049999999800210e-011	1.100000e+000	1.100000e+000	5.540698e-001
1.149999999400630e-011	1.100000e+000	1.100000e+000	5.479409e-001
1.349999998601469e-011	1.100000e+000	1.100000e+000	5.337755e-001
1.749999997003148e-011	1.100000e+000	1.100000e+000	5.032560e-001
2.330768127090126e-011	1.100000e+000	1.100000e+000	4.659175e-001
3.276787224767430e-011	1.100000e+000	1.100000e+000	4.540804e-001
5.168825420122036e-011	1.100000e+000	1.100000e+000	5.873417e-001
8.853008104019796e-011	1.100000e+000	1.100000e+000	9.349276e-001
1.294566266446228e-010	1.100000e+000	1.100000e+000	1.092590e+000
2.026136764781592e-010	1.100000e+000	1.100000e+000	1.100058e+000
3.020441763753381e-010	1.100000e+000	1.100000e+000	1.099644e+000
4.198262461452273e-010	1.100000e+000	1.100000e+000	1.100111e+000
6.553903856850060e-010	1.100000e+000	1.100000e+000	1.099785e+000
1.126518664764563e-009	1.100000e+000	1.100000e+000	1.099914e+000
1.614799914764563e-009	1.100000e+000	1.100000e+000	1.099915e+000
2.103081164764563e-009	1.100000e+000	1.100000e+000	1.099923e+000
2.591362414764563e-009	1.100000e+000	1.100000e+000	1.099926e+000
3.079643664764563e-009	1.100000e+000	1.100000e+000	1.099934e+000
3.567924914764562e-009	1.100000e+000	1.100000e+000	1.099936e+000
4.056206164764562e-009	1.100000e+000	1.100000e+000	1.099942e+000
4.544487414764563e-009	1.100000e+000	1.100000e+000	1.102667e+000
4.554487414764562e-009	1.100000e+000	1.100000e+000	1.101531e+000
4.574487414764562e-009	1.100000e+000	1.100000e+000	1.099541e+000
4.614487414764561e-009	1.100000e+000	1.100000e+000	1.100171e+000
4.694487414764559e-009	1.100000e+000	1.100000e+000	1.099916e+000
4.854487414764555e-009	1.100000e+000	1.100000e+000	1.099180e+000
4.864487414764555e-009	1.100000e+000	1.100000e+000	1.099490e+000
4.884487414764554e-009	1.100000e+000	1.100000e+000	1.100117e+000
4.924487414764553e-009	1.100000e+000	1.100000e+000	1.100277e+000
4.930000000000002e-009	1.100000e+000	1.100000e+000	1.100199e+000
4.941025170470899e-009	1.100000e+000	1.100000e+000	1.099967e+000
4.963075511412692e-009	1.100000e+000	1.100000e+000	1.099958e+000
4.965899318116412e-009	1.100000e+000	1.100000e+000	1.099966e+000
4.971546931523852e-009	1.100000e+000	1.100000e+000	1.099997e+000
4.982842158338733e-009	1.100000e+000	1.100000e+000	1.100000e+000
4.996544322433254e-009	1.100000e+000	1.100000e+000	1.100000e+000
5.000000000000000e-009	1.100000e+000	1.100000e+000	1.100000e+000
