time	V(clk)	V(d)	V(q)
0.000000000000000e+000	0.000000e+000	0.000000e+000	5.253573e-008
1.953124992195698e-015	2.148437e-004	2.148437e-004	1.765245e-006
3.906249984391395e-015	4.296875e-004	4.296875e-004	3.145926e-006
7.812499968782791e-015	8.593750e-004	8.593750e-004	5.367890e-006
1.562499993756558e-014	1.718750e-003	1.718750e-003	9.369212e-006
3.124999987513116e-014	3.437500e-003	3.437500e-003	1.697726e-005
6.249999975026233e-014	6.875000e-003	6.875000e-003	3.166944e-005
1.249999995005247e-013	1.375000e-002	1.375000e-002	5.935107e-005
2.499999990010493e-013	2.750000e-002	2.750000e-002	1.084679e-004
4.999999980020986e-013	5.500000e-002	5.500000e-002	1.855451e-004
9.999999960041972e-013	1.100000e-001	1.100000e-001	2.784751e-004
1.999999992008394e-012	2.200000e-001	2.200000e-001	3.315299e-004
3.999999984016789e-012	4.400000e-001	4.400000e-001	2.363074e-004
6.000000015983211e-012	6.600000e-001	6.600000e-001	-1.620821e-005
9.999999999999999e-012	1.100000e+000	1.100000e+000	-7.281411e-004
1.039999999840168e-011	1.100000e+000	1.100000e+000	-8.573267e-004
1.119999999520504e-011	1.100000e+000	1.100000e+000	-9.792444e-004
1.279999998881175e-011	1.100000e+000	1.100000e+000	-8.909046e-004
1.599999997602518e-011	1.100000e+000	1.100000e+000	-4.854978e-004
2.239999995045204e-011	1.100000e+000	1.100000e+000	-1.931433e-005
3.519999989930577e-011	1.100000e+000	1.100000e+000	1.960674e-004
6.079999979701323e-011	1.100000e+000	1.100000e+000	1.481698e-004
9.114491223566782e-011	1.100000e+000	1.100000e+000	-4.544872e-005
1.192600023775162e-010	1.100000e+000	1.100000e+000	-9.973223e-005
1.561504640570858e-010	1.100000e+000	1.100000e+000	-1.607380e-005
2.068714450513159e-010	1.100000e+000	1.100000e+000	1.270868e-005
2.547042533903064e-010	1.100000e+000	1.100000e+000	-2.850539e-006
3.503594320898735e-010	1.100000e+000	1.100000e+000	1.445773e-006
5.104681303846200e-010	1.100000e+000	1.100000e+000	-2.493042e-007
7.057806303846200e-010	1.100000e+000	1.100000e+000	9.902215e-008
9.010931303846200e-010	1.100000e+000	1.100000e+000	-9.118594e-009
1.487030630384620e-009	1.100000e+000	1.100000e+000	7.227391e-008
4.612030630384617e-009	1.100000e+000	1.100000e+000	5.069342e-008
4.807343130384617e-009	1.100000e+000	1.100000e+000	-2.511331e-006
4.814687500000000e-009	1.100000e+000	1.100000e+000	-8.490818e-007
4.829376239230767e-009	1.100000e+000	1.100000e+000	1.286378e-006
4.858753717692300e-009	1.100000e+000	1.100000e+000	-6.998355e-007
4.917508674615366e-009	1.100000e+000	1.100000e+000	-3.578303e-006
4.927508674615366e-009	1.100000e+000	1.100000e+000	-2.166689e-006
4.947508674615365e-009	1.100000e+000	1.100000e+000	3.410632e-007
4.970000000000001e-009	1.100000e+000	1.100000e+000	2.122243e-006
4.980000000000001e-009	1.100000e+000	1.100000e+000	4.634062e-007
4.990000000000000e-009	1.100000e+000	1.100000e+000	-1.876438e-007
5.000000000000000e-009	1.100000e+000	1.100000e+000	3.324421e-007
5.010000000000000e-009	1.100000e+000	1.100000e+000	1.610822e-005
5.011000000000000e-009	9.900000e-001	1.100000e+000	-4.876633e-005
5.013000000000000e-009	7.700000e-001	1.100000e+000	-7.510969e-005
5.016000000000000e-009	4.400000e-001	1.100000e+000	4.719060e-005
5.020000000000000e-009	0.000000e+000	1.100000e+000	3.260297e-004
5.020400000000001e-009	0.000000e+000	1.100000e+000	3.952672e-004
5.021200000000001e-009	0.000000e+000	1.100000e+000	4.553115e-004
5.022800000000001e-009	0.000000e+000	1.100000e+000	3.969153e-004
