time	V(clk)	V(d)	V(n2)	V(n4)
0.000000000000000e+000	0.000000e+000	0.000000e+000	4.809776e-001	8.262109e-008
9.765624960978488e-015	1.074219e-003	1.074219e-003	4.810514e-001	1.189565e-004
1.953124992195698e-014	2.148438e-003	2.148438e-003	4.811197e-001	2.328763e-004
3.906249984391395e-014	4.296875e-003	4.296875e-003	4.812498e-001	4.532067e-004
7.812499968782791e-014	8.593750e-003	8.593750e-003	4.815085e-001	8.818409e-004
1.562499993756558e-013	1.718750e-002	1.718750e-002	4.820235e-001	1.694515e-003
3.124999987513116e-013	3.437500e-002	3.437500e-002	4.830449e-001	3.161988e-003
6.249999975026233e-013	6.875000e-002	6.875000e-002	4.850596e-001	5.593124e-003
1.249999995005247e-012	1.375000e-001	1.375000e-001	4.890101e-001	9.105339e-003
2.499999990010493e-012	2.750000e-001	2.750000e-001	4.967097e-001	1.339504e-002
4.999999980020986e-012	5.500000e-001	5.500000e-001	5.029950e-001	1.447332e-002
9.999999999999999e-012	1.100000e+000	1.100000e+000	4.889758e-001	2.361769e-003
1.049999999800210e-011	1.100000e+000	1.100000e+000	4.766084e-001	-3.734291e-003
1.149999999400630e-011	1.100000e+000	1.100000e+000	4.491978e-001	-1.364494e-002
1.349999998601469e-011	1.100000e+000	1.100000e+000	3.870567e-001	-2.525856e-002
1.749999997003148e-011	1.100000e+000	1.100000e+000	2.653883e-001	-3.190018e-002
2.157110054319248e-011	1.100000e+000	1.100000e+000	1.770759e-001	-2.654790e-002
2.971330168951448e-011	1.100000e+000	1.100000e+000	9.170399e-002	-1.020967e-002
4.599770398215849e-011	1.100000e+000	1.100000e+000	2.774942e-002	3.966098e-003
6.237001751747470e-011	1.100000e+000	1.100000e+000	8.953528e-003	4.556958e-003
9.511464458810713e-011	1.100000e+000	1.100000e+000	2.715047e-003	1.103556e-003
1.491537602294278e-010	1.100000e+000	1.100000e+000	5.074811e-004	7.271054e-005
2.251224098911628e-010	1.100000e+000	1.100000e+000	1.835474e-004	1.909647e-005
3.634616178922573e-010	1.100000e+000	1.100000e+000	1.283280e-004	9.338227e-006
6.401400338944465e-010	1.100000e+000	1.100000e+000	6.164100e-005	2.407276e-006
1.193496865898825e-009	1.100000e+000	1.100000e+000	3.416257e-005	2.328261e-006
2.170059365898825e-009	1.100000e+000	1.100000e+000	1.668674e-005	1.535245e-006
3.146621865898824e-009	1.100000e+000	1.100000e+000	1.081623e-005	1.398226e-006
4.123184365898824e-009	1.100000e+000	1.100000e+000	7.988387e-005	3.378986e-005
4.133184365898824e-009	1.100000e+000	1.100000e+000	5.673686e-005	2.075337e-005
