time	V(clk)	V(d)	V(n2)	V(n4)
0.000000000000000e+000	0.000000e+000	0.000000e+000	1.099999e+000	1.100000e+000
1.953124992195698e-015	2.148437e-004	2.148437e-004	1.100024e+000	1.100016e+000
3.906249984391395e-015	4.296875e-004	4.296875e-004	1.100045e+000	1.100029e+000
7.812499968782791e-015	8.593750e-004	8.593750e-004	1.100081e+000	1.100050e+000
1.562499993756558e-014	1.718750e-003	1.718750e-003	1.100147e+000	1.100091e+000
3.124999987513116e-014	3.437500e-003	3.437500e-003	1.100278e+000	1.100171e+000
6.249999975026233e-014	6.875000e-003	6.875000e-003	1.100540e+000	1.100328e+000
1.249999995005247e-013	1.375000e-002	1.375000e-002	1.101060e+000	1.100632e+000
2.499999990010493e-013	2.750000e-002	2.750000e-002	1.102092e+000	1.101206e+000
4.999999980020986e-013	5.500000e-002	5.500000e-002	1.104120e+000	1.102231e+000
9.999999960041972e-013	1.100000e-001	1.100000e-001	1.108049e+000	1.103890e+000
1.999999992008394e-012	2.200000e-001	2.200000e-001	1.115461e+000	1.106184e+000
3.999999984016789e-012	4.400000e-001	4.400000e-001	1.128387e+000	1.109013e+000
6.000000015983211e-012	6.600000e-001	6.600000e-001	1.134105e+000	1.111230e+000
9.999999999999999e-012	1.100000e+000	1.100000e+000	1.129049e+000	1.116043e+000
1.039999999840168e-011	1.100000e+000	1.100000e+000	1.121693e+000	1.114231e+000
1.119999999520504e-011	1.100000e+000	1.100000e+000	1.105611e+000	1.110798e+000
1.279999998881175e-011	1.100000e+000	1.100000e+000	1.062066e+000	1.104862e+000
1.599999997602518e-011	1.100000e+000	1.100000e+000	9.554050e-001	1.097279e+000
1.991407647790446e-011	1.100000e+000	1.100000e+000	8.363389e-001	1.094423e+000
2.583611192785710e-011	1.100000e+000	1.100000e+000	7.019674e-001	1.095414e+000
3.349546552284158e-011	1.100000e+000	1.100000e+000	5.799256e-001	1.098724e+000
4.881417271281054e-011	1.100000e+000	1.100000e+000	3.958575e-001	1.112174e+000
6.937384384479315e-011	1.100000e+000	1.100000e+000	2.035463e-001	1.150891e+000
9.866651415324314e-011	1.100000e+000	1.100000e+000	5.385048e-002	1.141228e+000
1.330186577684067e-010	1.100000e+000	1.100000e+000	5.731442e-003	8.223646e-001
1.714477545480696e-010	1.100000e+000	1.100000e+000	8.358945e-004	3.287187e-001
2.293155759947992e-010	1.100000e+000	1.100000e+000	2.943291e-006	1.045638e-002
2.875708440266538e-010	1.100000e+000	1.100000e+000	5.651381e-005	-1.600896e-003
3.579983658685624e-010	1.100000e+000	1.100000e+000	-6.205109e-005	3.178417e-003
4.726522515227940e-010	1.100000e+000	1.100000e+000	2.133035e-005	-3.254742e-004
6.232484917334959e-010	1.100000e+000	1.100000e+000	-1.223540e-005	7.704443e-004
8.185609917334959e-010	1.100000e+000	1.100000e+000	2.073648e-006	2.019824e-004
1.013873491733496e-009	1.100000e+000	1.100000e+000	-9.704090e-007	2.680533e-004
1.209185991733496e-009	1.100000e+000	1.100000e+000	1.813198e-006	1.378134e-004
1.404498491733496e-009	1.100000e+000	1.100000e+000	-6.809714e-007	1.905560e-004
1.599810991733496e-009	1.100000e+000	1.100000e+000	1.585882e-006	9.093061e-005
1.795123491733496e-009	1.100000e+000	1.100000e+000	-4.364119e-007	1.380227e-004
1.990435991733496e-009	1.100000e+000	1.100000e+000	1.391265e-006	6.014761e-005
2.185748491733496e-009	1.100000e+000	1.100000e+000	-2.352317e-007	1.013691e-004
2.381060991733496e-009	1.100000e+000	1.100000e+000	1.227410e-006	3.958214e-005
2.576373491733495e-009	1.100000e+000	1.100000e+000	-7.262861e-008	7.527159e-005
2.771685991733495e-009	1.100000e+000	1.100000e+000	1.090593e-006	2.571556e-005
2.966998491733495e-009	1.100000e+000	1.100000e+000	6.720074e-008	5.640509e-005
3.162310991733495e-009	1.100000e+000	1.100000e+000	9.940268e-007	1.633272e-005
3.357623491733495e-009	1.100000e+000	1.100000e+000	1.858134e-007	4.259369e-005
3.552935991733494e-009	1.100000e+000	1.100000e+000	9.081850e-007	9.990996e-006
3.748248491733494e-009	1.100000e+000	1.100000e+000	2.592860e-007	3.237976e-005
3.943560991733494e-009	1.100000e+000	1.100000e+000	8.240459e-007	5.736365e-006
4.138873491733494e-009	1.100000e+000	1.100000e+000	3.157184e-007	2.476916e-005
4.334185991733494e-009	1.100000e+000	1.100000e+000	7.540220e-007	2.907822e-006
4.529498491733493e-009	1.100000e+000	1.100000e+000	3.565074e-007	1.904357e-005
4.724810991733493e-009	1.100000e+000	1.100000e+000	-4.456651e-006	1.788944e-004
4.814687500000000e-009	1.100000e+000	1.100000e+000	3.892794e-005	-8.472001e-004
4.830246983466986e-009	1.100000e+000	1.100000e+000	2.743232e-005	-6.480816e-004
4.861365950400957e-009	1.100000e+000	1.100000e+000	-5.503980e-006	9.245130e-005
4.923603884268900e-009	1.100000e+000	1.100000e+000	-2.988611e-005	5.688118e-005
4.933603884268900e-009	1.100000e+000	1.100000e+000	-1.564995e-005	5.638169e-005
4.953603884268900e-009	1.100000e+000	1.100000e+000	5.739781e-007	-4.690315e-006
4.970000000000001e-009	1.100000e+000	1.100000e+000	2.608699e-005	1.987791e-005
4.977207768537797e-009	1.100000e+000	1.100000e+000	2.816039e-005	2.259271e-005
4.991623305613390e-009	1.100000e+000	1.100000e+000	1.044388e-005	3.963750e-006
5.000000000000000e-009	1.100000e+000	1.100000e+000	8.451702e-006	5.342170e-006
5.010000000000000e-009	1.100000e+000	1.100000e+000	7.172133e-005	1.828086e-005
5.011000000000000e-009	9.900000e-001	1.100000e+000	-9.973972e-003	-3.251386e-003
5.013000000000000e-009	7.700000e-001	1.100000e+000	-2.936759e-002	-7.936250e-003
5.016000000000000e-009	4.400000e-001	1.100000e+000	-5.242116e-002	-1.084403e-002
5.020000000000000e-009	0.000000e+000	1.100000e+000	-7.226791e-002	-1.057681e-002
5.020400000000001e-009	0.000000e+000	1.100000e+000	-6.827848e-002	-8.086528e-003
5.021200000000001e-009	0.000000e+000	1.100000e+000	-5.987648e-002	-3.935370e-003
5.022800000000001e-009	0.000000e+000	1.100000e+000	-4.243678e-002	1.430049e-003
5.026000000000000e-009	0.000000e+000	1.100000e+000	-8.176208e-003	5.818072e-003
5.032399999999999e-009	0.000000e+000	1.100000e+000	5.653089e-002	6.409033e-003
5.045199999999998e-009	0.000000e+000	1.100000e+000	1.784523e-001	3.816079e-003
5.070799999999995e-009	0.000000e+000	1.100000e+000	4.091971e-001	-2.038170e-004
5.121999999999990e-009	0.000000e+000	1.100000e+000	7.730536e-001	-3.475223e-003
5.194585367532434e-009	0.000000e+000	1.100000e+000	1.035759e+000	-3.492140e-004
5.260592590213895e-009	0.000000e+000	1.100000e+000	1.096078e+000	-8.322514e-005
5.311944231830640e-009	0.000000e+000	1.100000e+000	1.098446e+000	-2.352688e-004
5.367589806518491e-009	0.000000e+000	1.100000e+000	1.099582e+000	1.005209e-004
5.421697155154548e-009	0.000000e+000	1.100000e+000	1.099925e+000	-1.218194e-004
5.485584279470210e-009	0.000000e+000	1.100000e+000	1.100036e+000	1.246764e-004
